play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
MACBETH,1,2,A Camp near Forres.,Dismay'd,ORG,"Companies, agencies, institutions, etc.",1557,1565
MACBETH,1,2,A Camp near Forres.,Macbeth and Banquo?,WORK_OF_ART,"Titles of books, songs, etc.",1589,1608
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1926,1932
MACBETH,1,2,A Camp near Forres.,Exit Captain,PERSON,"People, including fictional",2028,2040
MACBETH,1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional",2058,2062
MACBETH,1,2,A Camp near Forres.,Angus,PERSON,"People, including fictional",2067,2072
MACBETH,1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional",2090,2097
MACBETH,1,2,A Camp near Forres.,Thane,GPE,"Countries, cities, states",2110,2115
MACBETH,1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional",2119,2123
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2224,2228
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2249,2255
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2291,2295
MACBETH,1,2,A Camp near Forres.,Fife,GPE,"Countries, cities, states",2302,2306
MACBETH,1,2,A Camp near Forres.,Norweyan,NORP,Nationalities or religious or political groups,2330,2338
MACBETH,1,2,A Camp near Forres.,Norway,GPE,"Countries, cities, states",2386,2392
MACBETH,1,2,A Camp near Forres.,Bellona,PERSON,"People, including fictional",2521,2528
MACBETH,1,2,A Camp near Forres.,Point,ORG,"Companies, agencies, institutions, etc.",2598,2603
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2716,2722
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2741,2745
MACBETH,1,2,A Camp near Forres.,Sweno,PERSON,"People, including fictional",2756,2761
MACBETH,1,2,A Camp near Forres.,Norways,GPE,"Countries, cities, states",2767,2774
MACBETH,1,2,A Camp near Forres.,Saint Colme's,GPE,"Countries, cities, states",2864,2877
MACBETH,1,2,A Camp near Forres.,Ten thousand dollars,MONEY,"Monetary values, including unit",2883,2903
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2924,2930
MACBETH,1,2,A Camp near Forres.,Thane,GPE,"Countries, cities, states",2945,2950
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",3068,3072
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",3092,3098
MACBETH,1,3,A heath.,three,CARDINAL,Numerals that do not fall under another type,19,24
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",34,39
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",139,144
MACBETH,1,3,A heath.,Aleppo,NORP,Nationalities or religious or political groups,322,328
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",490,495
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",544,549
MACBETH,1,3,A heath.,shipman,PERSON,"People, including fictional",655,662
MACBETH,1,3,A heath.,sev'n-nights,DATE,Absolute or relative dates or periods,798,810
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",974,979
MACBETH,1,3,A heath.,nine,CARDINAL,Numerals that do not fall under another type,1268,1272
MACBETH,1,3,A heath.,Enter Macbeth and Banquo,WORK_OF_ART,"Titles of books, songs, etc.",1303,1327
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",1805,1810
MACBETH,1,3,A heath.,Thane,GPE,"Countries, cities, states",1851,1856
MACBETH,1,3,A heath.,Glamis,GPE,"Countries, cities, states",1860,1866
MACBETH,1,3,A heath.,Thane,GPE,"Countries, cities, states",1915,1920
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",2470,2475
MACBETH,1,3,A heath.,Macbeth and Banquo,WORK_OF_ART,"Titles of books, songs, etc.",2690,2708
MACBETH,1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",2710,2715
MACBETH,1,3,A heath.,Banquo,PERSON,"People, including fictional",2723,2729
MACBETH,1,3,A heath.,Sinel,PERSON,"People, including fictional",2809,2814
MACBETH,1,3,A heath.,Glamis,GPE,"Countries, cities, states",2844,2850
MACBETH,1,3,A heath.,Whither,PERSON,"People, including fictional",3245,3252
MACBETH,1,3,A heath.,Ross,PERSON,"People, including fictional",3670,3674
MACBETH,1,3,A heath.,Angus,PERSON,"People, including fictional",3679,3684
MACBETH,1,3,A heath.,ROSS,PERSON,"People, including fictional",3686,3690
MACBETH,1,3,A heath.,Norweyan,NORP,Nationalities or religious or political groups,3981,3989
MACBETH,1,3,A heath.,ANGUS,ORG,"Companies, agencies, institutions, etc.",4202,4207
MACBETH,1,3,A heath.,ROSS,PERSON,"People, including fictional",4314,4318
MACBETH,1,3,A heath.,Thane,PERSON,"People, including fictional",4393,4398
MACBETH,1,3,A heath.,ANGUS,ORG,"Companies, agencies, institutions, etc.",4586,4591
MACBETH,1,3,A heath.,Thane,GPE,"Countries, cities, states",4605,4610
MACBETH,1,3,A heath.,Norway,GPE,"Countries, cities, states",4729,4735
MACBETH,1,3,A heath.,Glamis,PERSON,"People, including fictional",4936,4942
MACBETH,1,3,A heath.,Thane,GPE,"Countries, cities, states",4948,4953
MACBETH,1,3,A heath.,Ross,PERSON,"People, including fictional",4992,4996
MACBETH,1,3,A heath.,Angus,PERSON,"People, including fictional",5001,5006
MACBETH,1,3,A heath.,Banquo,PERSON,"People, including fictional",5034,5040
MACBETH,1,3,A heath.,Cousins,PERSON,"People, including fictional",5422,5429
MACBETH,1,3,A heath.,Two,CARDINAL,Numerals that do not fall under another type,5467,5470
MACBETH,1,3,A heath.,Thane,PERSON,"People, including fictional",5719,5724
MACBETH,1,3,A heath.,Shakes,PERSON,"People, including fictional",5986,5992
MACBETH,1,3,A heath.,Time,ORG,"Companies, agencies, institutions, etc.",6364,6368
MACBETH,1,3,A heath.,the roughest day,DATE,Absolute or relative dates or periods,6395,6411
MACBETH,1,3,A heath.,Worthy Macbeth,PERSON,"People, including fictional",6421,6435
MACBETH,1,3,A heath.,enough.—Come,CARDINAL,Numerals that do not fall under another type,6820,6832
MACBETH,1,4,Forres. A Room in the Palace.,Duncan,PERSON,"People, including fictional",16,22
MACBETH,1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional",24,31
MACBETH,1,4,Forres. A Room in the Palace.,Donalbain,PERSON,"People, including fictional",33,42
MACBETH,1,4,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional",44,50
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",67,73
MACBETH,1,4,Forres. A Room in the Palace.,return'd,ORG,"Companies, agencies, institutions, etc.",136,144
MACBETH,1,4,Forres. A Room in the Palace.,MALCOLM,PERSON,"People, including fictional",146,153
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",535,541
MACBETH,1,4,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional",680,684
MACBETH,1,4,Forres. A Room in the Palace.,Angus,PERSON,"People, including fictional",689,694
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",1290,1296
MACBETH,1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",1394,1400
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",1569,1575
MACBETH,1,4,Forres. A Room in the Palace.,Wanton,GPE,"Countries, cities, states",1596,1602
MACBETH,1,4,Forres. A Room in the Palace.,Malcolm,PERSON,"People, including fictional",1772,1779
MACBETH,1,4,Forres. A Room in the Palace.,Cumberland,LOC,"Non-GPE locations, mountain ranges, bodies of water",1818,1828
MACBETH,1,4,Forres. A Room in the Palace.,Inverness,GPE,"Countries, cities, states",1963,1972
MACBETH,1,4,Forres. A Room in the Palace.,us'd,ORG,"Companies, agencies, institutions, etc.",2044,2048
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",2173,2179
MACBETH,1,4,Forres. A Room in the Palace.,DUNCAN,PERSON,"People, including fictional",2488,2494
MACBETH,1,4,Forres. A Room in the Palace.,Banquo,PERSON,"People, including fictional",2509,2515
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Lady Macbeth,PERSON,"People, including fictional",6,18
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,the day,DATE,Absolute or relative dates or periods,68,75
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,might'st,PERSON,"People, including fictional",604,612
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Glamis,PERSON,"People, including fictional",735,741
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,thou holily,PERSON,"People, including fictional",1028,1039
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Glamis,PERSON,"People, including fictional",1115,1121
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,tonight,TIME,Times smaller than a day,1542,1549
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,MESSENGER,PERSON,"People, including fictional",1669,1678
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,One,CARDINAL,Numerals that do not fall under another type,1728,1731
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Exit Messenger,PERSON,"People, including fictional",1901,1915
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional",1979,1985
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Th,ORG,"Companies, agencies, institutions, etc.",2290,2292
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Enter Macbeth,WORK_OF_ART,"Titles of books, songs, etc.",2638,2651
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Duncan,PERSON,"People, including fictional",2858,2864
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,tonight,TIME,Times smaller than a day,2876,2883
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,Tomorrow,DATE,Absolute or relative dates or periods,2929,2937
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,May,PERSON,"People, including fictional",3049,3052
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,night,TIME,Times smaller than a day,3287,3292
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,masterdom,GPE,"Countries, cities, states",3406,3415
MACBETH,1,6,The same. Before the Castle.,Hautboys,ORG,"Companies, agencies, institutions, etc.",0,8
MACBETH,1,6,The same. Before the Castle.,Duncan,PERSON,"People, including fictional",47,53
MACBETH,1,6,The same. Before the Castle.,Malcolm,PERSON,"People, including fictional",55,62
MACBETH,1,6,The same. Before the Castle.,Donalbain,PERSON,"People, including fictional",64,73
MACBETH,1,6,The same. Before the Castle.,Lennox,PERSON,"People, including fictional",83,89
MACBETH,1,6,The same. Before the Castle.,Macduff,GPE,"Countries, cities, states",91,98
MACBETH,1,6,The same. Before the Castle.,Ross,PERSON,"People, including fictional",100,104
MACBETH,1,6,The same. Before the Castle.,Angus,PERSON,"People, including fictional",106,111
MACBETH,1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",128,134
MACBETH,1,6,The same. Before the Castle.,Nimbly,PERSON,"People, including fictional",178,184
MACBETH,1,6,The same. Before the Castle.,summer,DATE,Absolute or relative dates or periods,261,267
MACBETH,1,6,The same. Before the Castle.,Buttress,ORG,"Companies, agencies, institutions, etc.",401,409
MACBETH,1,6,The same. Before the Castle.,Lady Macbeth,PERSON,"People, including fictional",571,583
MACBETH,1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",585,591
MACBETH,1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",1082,1088
MACBETH,1,6,The same. Before the Castle.,holp,PERSON,"People, including fictional",1249,1253
MACBETH,1,6,The same. Before the Castle.,tonight,TIME,Times smaller than a day,1323,1330
MACBETH,1,6,The same. Before the Castle.,DUNCAN,PERSON,"People, including fictional",1494,1500
MACBETH,1,7,The same. A Lobby in the Castle.,Hautboys,PERSON,"People, including fictional",0,8
MACBETH,1,7,The same. A Lobby in the Castle.,Sewer,ORG,"Companies, agencies, institutions, etc.",46,51
MACBETH,1,7,The same. A Lobby in the Castle.,First,ORDINAL,"""first"", ""second"", etc.",679,684
MACBETH,1,7,The same. A Lobby in the Castle.,Strong,PERSON,"People, including fictional",723,729
MACBETH,1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",860,866
MACBETH,1,7,The same. A Lobby in the Castle.,Will,PERSON,"People, including fictional",958,962
MACBETH,1,7,The same. A Lobby in the Castle.,cherubin,PERSON,"People, including fictional",1115,1123
MACBETH,1,7,The same. A Lobby in the Castle.,hors'd,ORG,"Companies, agencies, institutions, etc.",1125,1131
MACBETH,1,7,The same. A Lobby in the Castle.,wind.—I,ORG,"Companies, agencies, institutions, etc.",1240,1247
MACBETH,1,7,The same. A Lobby in the Castle.,Golden,PERSON,"People, including fictional",1643,1649
MACBETH,1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",2986,2992
MACBETH,1,7,The same. A Lobby in the Castle.,day,DATE,Absolute or relative dates or periods,3033,3036
MACBETH,1,7,The same. A Lobby in the Castle.,two,CARDINAL,Numerals that do not fall under another type,3077,3080
MACBETH,1,7,The same. A Lobby in the Castle.,limbeck,PERSON,"People, including fictional",3218,3225
MACBETH,1,7,The same. A Lobby in the Castle.,Th,ORG,"Companies, agencies, institutions, etc.",3331,3333
MACBETH,1,7,The same. A Lobby in the Castle.,Duncan,PERSON,"People, including fictional",3345,3351
MACBETH,1,7,The same. A Lobby in the Castle.,two,CARDINAL,Numerals that do not fall under another type,3605,3608
MACBETH,1,7,The same. A Lobby in the Castle.,us'd,ORG,"Companies, agencies, institutions, etc.",3633,3637
MACBETH,2,1,Inverness. Court within the Castle.,the night,TIME,Times smaller than a day,67,76
MACBETH,2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional",83,90
MACBETH,2,1,Inverness. Court within the Castle.,twelve,CARDINAL,Numerals that do not fall under another type,167,173
MACBETH,2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional",175,182
MACBETH,2,1,Inverness. Court within the Castle.,Enter Macbeth,WORK_OF_ART,"Titles of books, songs, etc.",471,484
MACBETH,2,1,Inverness. Court within the Castle.,sword.—Who,PERSON,"People, including fictional",524,534
MACBETH,2,1,Inverness. Court within the Castle.,last night,TIME,Times smaller than a day,938,948
MACBETH,2,1,Inverness. Court within the Castle.,three,CARDINAL,Numerals that do not fall under another type,956,961
MACBETH,2,1,Inverness. Court within the Castle.,an hour,TIME,Times smaller than a day,1068,1075
MACBETH,2,1,Inverness. Court within the Castle.,eyes.—Now o'er,TIME,Times smaller than a day,2307,2321
MACBETH,2,1,Inverness. Court within the Castle.,one,CARDINAL,Numerals that do not fall under another type,2326,2329
MACBETH,2,1,Inverness. Court within the Castle.,half,CARDINAL,Numerals that do not fall under another type,2330,2334
MACBETH,2,1,Inverness. Court within the Castle.,Nature,WORK_OF_ART,"Titles of books, songs, etc.",2341,2347
MACBETH,2,1,Inverness. Court within the Castle.,Pale Hecate's,ORG,"Companies, agencies, institutions, etc.",2427,2440
MACBETH,2,1,Inverness. Court within the Castle.,Alarum'd,ORG,"Companies, agencies, institutions, etc.",2473,2481
MACBETH,2,1,Inverness. Court within the Castle.,Tarquin,PERSON,"People, including fictional",2567,2574
MACBETH,2,1,Inverness. Court within the Castle.,Duncan,PERSON,"People, including fictional",2969,2975
MACBETH,2,1,Inverness. Court within the Castle.,knell,PERSON,"People, including fictional",2989,2994
MACBETH,2,2,The same.,second,ORDINAL,"""first"", ""second"", etc.",965,971
MACBETH,2,2,The same.,Donalbain,PERSON,"People, including fictional",995,1004
MACBETH,2,2,The same.,two,CARDINAL,Numerals that do not fall under another type,1329,1332
MACBETH,2,2,The same.,Macbeth,PERSON,"People, including fictional",1838,1845
MACBETH,2,2,The same.,day,DATE,Absolute or relative dates or periods,1953,1956
MACBETH,2,2,The same.,second,ORDINAL,"""first"", ""second"", etc.",2020,2026
MACBETH,2,2,The same.,Glamis,PERSON,"People, including fictional",2161,2167
MACBETH,2,2,The same.,brainsickly,PERSON,"People, including fictional",2368,2379
MACBETH,2,2,The same.,Neptune,LOC,"Non-GPE locations, mountain ranges, bodies of water",3085,3092
MACBETH,2,2,The same.,Lady Macbeth,PERSON,"People, including fictional",3234,3246
MACBETH,2,2,The same.,Wake Duncan,PERSON,"People, including fictional",3731,3742
MACBETH,2,3,The same.,Belzebub,ORG,"Companies, agencies, institutions, etc.",197,205
MACBETH,2,3,The same.,English,LANGUAGE,Any named language,660,667
MACBETH,2,3,The same.,French,NORP,Nationalities or religious or political groups,710,716
MACBETH,2,3,The same.,Macduff,PERSON,"People, including fictional",1079,1086
MACBETH,2,3,The same.,Lennox,PERSON,"People, including fictional",1091,1097
MACBETH,2,3,The same.,second,ORDINAL,"""first"", ""second"", etc.",1225,1231
MACBETH,2,3,The same.,three,CARDINAL,Numerals that do not fall under another type,1277,1282
MACBETH,2,3,The same.,three,CARDINAL,Numerals that do not fall under another type,1305,1310
MACBETH,2,3,The same.,last night,TIME,Times smaller than a day,1839,1849
MACBETH,2,3,The same.,thy master,PERSON,"People, including fictional",2055,2065
MACBETH,2,3,The same.,morrow,DATE,Absolute or relative dates or periods,2148,2154
MACBETH,2,3,The same.,morrow,DATE,Absolute or relative dates or periods,2181,2187
MACBETH,2,3,The same.,Exit Macduff,PERSON,"People, including fictional",2570,2582
MACBETH,2,3,The same.,today,DATE,Absolute or relative dates or periods,2612,2617
MACBETH,2,3,The same.,Lamentings,PERSON,"People, including fictional",2752,2762
MACBETH,2,3,The same.,Twas,TIME,Times smaller than a day,3025,3029
MACBETH,2,3,The same.,Macduff,PERSON,"People, including fictional",3112,3119
MACBETH,2,3,The same.,Gorgon,ORG,"Companies, agencies, institutions, etc.",3534,3540
MACBETH,2,3,The same.,Exeunt Macbeth and,WORK_OF_ART,"Titles of books, songs, etc.",3595,3613
MACBETH,2,3,The same.,Lennox,PERSON,"People, including fictional",3614,3620
MACBETH,2,3,The same.,Banquo,PERSON,"People, including fictional",3679,3685
MACBETH,2,3,The same.,Donalbain,PERSON,"People, including fictional",3690,3699
MACBETH,2,3,The same.,Malcolm,PERSON,"People, including fictional",3701,3708
MACBETH,2,3,The same.,Malcolm,PERSON,"People, including fictional",3832,3839
MACBETH,2,3,The same.,Banquo,PERSON,"People, including fictional",3841,3847
MACBETH,2,3,The same.,Alarum-bell,PERSON,"People, including fictional",3928,3939
MACBETH,2,3,The same.,Lady Macbeth,PERSON,"People, including fictional",3953,3965
MACBETH,2,3,The same.,Duff,PERSON,"People, including fictional",4353,4357
MACBETH,2,3,The same.,Lennox,PERSON,"People, including fictional",4431,4437
MACBETH,2,3,The same.,Ross,PERSON,"People, including fictional",4443,4447
MACBETH,2,3,The same.,an hour,TIME,Times smaller than a day,4473,4480
MACBETH,2,3,The same.,Malcolm,PERSON,"People, including fictional",4715,4722
MACBETH,2,3,The same.,Donalbain,PERSON,"People, including fictional",4727,4736
MACBETH,2,3,The same.,DONALBAIN,PERSON,"People, including fictional",4738,4747
MACBETH,2,3,The same.,MALCOLM,PERSON,"People, including fictional",4935,4942
MACBETH,2,3,The same.,Loyal,ORG,"Companies, agencies, institutions, etc.",5361,5366
MACBETH,2,3,The same.,Duncan,PERSON,"People, including fictional",5471,5477
MACBETH,2,3,The same.,Unmannerly,PERSON,"People, including fictional",5681,5691
MACBETH,2,3,The same.,gore,PERSON,"People, including fictional",5706,5710
MACBETH,2,3,The same.,MALCOLM,PERSON,"People, including fictional",5865,5872
MACBETH,2,3,The same.,DONALBAIN,PERSON,"People, including fictional",5946,5955
MACBETH,2,3,The same.,MALCOLM,PERSON,"People, including fictional",6089,6096
MACBETH,2,3,The same.,— Lady Macbeth,PERSON,"People, including fictional",6170,6184
MACBETH,2,3,The same.,Malcolm,PERSON,"People, including fictional",6630,6637
MACBETH,2,3,The same.,Donalbain,PERSON,"People, including fictional",6642,6651
MACBETH,2,3,The same.,MALCOLM,PERSON,"People, including fictional",6653,6660
MACBETH,2,3,The same.,England,GPE,"Countries, cities, states",6786,6793
MACBETH,2,3,The same.,DONALBAIN,PERSON,"People, including fictional",6795,6804
MACBETH,2,3,The same.,Ireland,GPE,"Countries, cities, states",6809,6816
MACBETH,2,3,The same.,I. Our,ORG,"Companies, agencies, institutions, etc.",6818,6824
MACBETH,2,3,The same.,MALCOLM,PERSON,"People, including fictional",6958,6965
MACBETH,2,4,The same. Without the Castle.,Threescore,PERSON,"People, including fictional",36,46
MACBETH,2,4,The same. Without the Castle.,ten,CARDINAL,Numerals that do not fall under another type,51,54
MACBETH,2,4,The same. Without the Castle.,Hours,TIME,Times smaller than a day,120,125
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",205,209
MACBETH,2,4,The same. Without the Castle.,Thou,PERSON,"People, including fictional",228,232
MACBETH,2,4,The same. Without the Castle.,night,TIME,Times smaller than a day,386,391
MACBETH,2,4,The same. Without the Castle.,day,DATE,Absolute or relative dates or periods,415,418
MACBETH,2,4,The same. Without the Castle.,Tuesday,DATE,Absolute or relative dates or periods,567,574
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",666,670
MACBETH,2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional",676,682
MACBETH,2,4,The same. Without the Castle.,MAN,GPE,"Countries, cities, states",900,903
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",936,940
MACBETH,2,4,The same. Without the Castle.,Macduff,ORG,"Companies, agencies, institutions, etc.",1026,1033
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1107,1111
MACBETH,2,4,The same. Without the Castle.,Macbeth,PERSON,"People, including fictional",1180,1187
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1200,1204
MACBETH,2,4,The same. Without the Castle.,the day,DATE,Absolute or relative dates or periods,1212,1219
MACBETH,2,4,The same. Without the Castle.,Malcolm,PERSON,"People, including fictional",1280,1287
MACBETH,2,4,The same. Without the Castle.,Donalbain,PERSON,"People, including fictional",1292,1301
MACBETH,2,4,The same. Without the Castle.,two,CARDINAL,Numerals that do not fall under another type,1314,1317
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1394,1398
MACBETH,2,4,The same. Without the Castle.,Thine,NORP,Nationalities or religious or political groups,1462,1467
MACBETH,2,4,The same. Without the Castle.,Scone,ORG,"Companies, agencies, institutions, etc.",1588,1593
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1610,1614
MACBETH,2,4,The same. Without the Castle.,Duncan,PERSON,"People, including fictional",1625,1631
MACBETH,2,4,The same. Without the Castle.,Colmekill,ORG,"Companies, agencies, institutions, etc.",1660,1669
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1743,1747
MACBETH,2,4,The same. Without the Castle.,Scone,PERSON,"People, including fictional",1761,1766
MACBETH,2,4,The same. Without the Castle.,Fife,NORP,Nationalities or religious or political groups,1797,1801
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1803,1807
MACBETH,2,4,The same. Without the Castle.,ROSS,PERSON,"People, including fictional",1933,1937
MACBETH,2,4,The same. Without the Castle.,MAN,GPE,"Countries, cities, states",1961,1964
MACBETH,2,4,The same. Without the Castle.,benison,PERSON,"People, including fictional",1972,1979
MACBETH,3,1,Forres. A Room in the Palace.,King,PERSON,"People, including fictional",40,44
MACBETH,3,1,Forres. A Room in the Palace.,Glamis,PERSON,"People, including fictional",54,60
MACBETH,3,1,Forres. A Room in the Palace.,Macbeth,PERSON,"People, including fictional",302,309
MACBETH,3,1,Forres. A Room in the Palace.,May,DATE,Absolute or relative dates or periods,373,376
MACBETH,3,1,Forres. A Room in the Palace.,Sennet,PERSON,"People, including fictional",451,457
MACBETH,3,1,Forres. A Room in the Palace.,Lady Macbeth,PERSON,"People, including fictional",490,502
MACBETH,3,1,Forres. A Room in the Palace.,Lennox,PERSON,"People, including fictional",513,519
MACBETH,3,1,Forres. A Room in the Palace.,Ross,PERSON,"People, including fictional",521,525
MACBETH,3,1,Forres. A Room in the Palace.,Lords,ORG,"Companies, agencies, institutions, etc.",527,532
MACBETH,3,1,Forres. A Room in the Palace.,Tonight,TIME,Times smaller than a day,699,706
MACBETH,3,1,Forres. A Room in the Palace.,this afternoon,TIME,Times smaller than a day,901,915
MACBETH,3,1,Forres. A Room in the Palace.,day,DATE,Absolute or relative dates or periods,1055,1058
MACBETH,3,1,Forres. A Room in the Palace.,tomorrow,DATE,Absolute or relative dates or periods,1085,1093
MACBETH,3,1,Forres. A Room in the Palace.,the night,TIME,Times smaller than a day,1244,1253
MACBETH,3,1,Forres. A Room in the Palace.,a dark hour,TIME,Times smaller than a day,1259,1270
